filename,first_level3,second_level3,first_level2,second_level2,level3,level2
132143_forcadinho-np3_frame3300.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame3830.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1822.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
125355_forcadinho-np3_frame1559.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame2648.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame135.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3975.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
105317_cam-np3_frame1686.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame121.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
105317_cam-np3_frame1877.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1518.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3864.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
125355_forcadinho-np3_frame1599.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame2113.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame2020.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
105317_cam-np3_frame1347.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
113610_cam_survey_1_frame1144.jpg,A3.1-A4.1,A5.4,A3,A5,A5.2,A5
105317_cam-np3_frame1768.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame4234.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
113610_cam_survey_1_frame2955.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame602.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
125355_forcadinho-np3_frame1685.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
105317_cam-np3_frame1704.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame3246.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame2655.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3488.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame3855.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1744.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame621.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
125355_forcadinho-np3_frame593.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
113610_cam_survey_1_frame1152.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
113610_cam_survey_1_frame1525.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
113610_cam_survey_1_frame2031.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame619.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
125355_forcadinho-np3_frame1515.jpg,A3.1-A4.1,A5.4,A3,A5,A5.1,A5
105317_cam-np3_frame1698.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1915.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame2767.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
125355_forcadinho-np3_frame206.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
105317_cam-np3_frame1706.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
125355_forcadinho-np3_frame1186.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
105317_cam-np3_frame818.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3477.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
113610_cam_survey_1_frame133.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
132143_forcadinho-np3_frame979.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1817.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3185.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1787.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3517.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
113610_cam_survey_1_frame1440.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame972.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1691.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
132143_forcadinho-np3_frame3338.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame4098.jpg,A5.4,A3.1-A4.1,A5,A3,A3.7,A3
132143_forcadinho-np3_frame2632.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
132143_forcadinho-np3_frame2966.jpg,A3.1-A4.1,A5.4,A3,A5,A3.7,A3
105317_cam-np3_frame1730.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
132143_forcadinho-np3_frame1284.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
132143_forcadinho-np3_frame307.jpg,A3.1-A4.1,A5.4,A3,A5,A4.1,A4
105317_cam-np3_frame1521.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
132143_forcadinho-np3_frame780.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1724.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1421.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3255.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame559.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1531.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame7.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1172.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame1163.jpg,A5.2,A3.1-A4.1,A5,A3,A3.1,A3
113610_cam_survey_1_frame378.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
105317_cam-np3_frame1891.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1973.jpg,A5.2,A3.7-A4.7,A5,A3,A4.7,A4
125355_forcadinho-np3_frame585.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A4.1,A4
125355_forcadinho-np3_frame368.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
125355_forcadinho-np3_frame1617.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
113610_cam_survey_1_frame1157.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame2941.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A4.7,A4
132143_forcadinho-np3_frame1393.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame1978.jpg,A3.7-A4.7,A5.2,A3,A5,A4.1,A4
113610_cam_survey_1_frame422.jpg,A5.2,A3.7-A4.7,A5,A3,A3.7,A3
132143_forcadinho-np3_frame2759.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame973.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1,A3
132143_forcadinho-np3_frame1611.jpg,A5.1,A3.1-A4.1,A5,A3,A3.7,A3
132143_forcadinho-np3_frame4163.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1,A3
105317_cam-np3_frame1944.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame1425.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1175.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame3261.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1,A3
113610_cam_survey_1_frame344.jpg,A5.1,A3.1-A4.1,A5,A3,A3.7,A3
125355_forcadinho-np3_frame1438.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
132143_forcadinho-np3_frame981.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1986.jpg,A3.1-A4.1,A5.1,A3,A5,A4.7,A4
105317_cam-np3_frame1734.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
113610_cam_survey_1_frame947.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1,A3
105317_cam-np3_frame1909.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
105317_cam-np3_frame1539.jpg,A3.1-A4.1,A5.1,A3,A5,A3.7,A3
132143_forcadinho-np3_frame910.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
113610_cam_survey_1_frame1968.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
105317_cam-np3_frame1708.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1257.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame2041.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
113610_cam_survey_1_frame539.jpg,A3.1-A4.1,A5.1,A3,A5,A4.1,A4
105317_cam-np3_frame1619.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame622.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
125355_forcadinho-np3_frame1521.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
105317_cam-np3_frame1867.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame500.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
113610_cam_survey_1_frame1677.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
113610_cam_survey_1_frame232.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame726.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
132143_forcadinho-np3_frame3521.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
113610_cam_survey_1_frame1244.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame306.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame77.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A4.1,A4
113610_cam_survey_1_frame727.jpg,A3.1-A4.1,A5.2,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1596.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3872.jpg,A3.1-A4.1,A5.2,A3,A5,A3.1,A3
132143_forcadinho-np3_frame3837.jpg,A3.1-A4.1,A5.2,A3,A5,A3.1,A3
105317_cam-np3_frame1725.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1496.jpg,A5.1,A5.4,A5,A5,A3.1,A3
113610_cam_survey_1_frame1179.jpg,A5.2,A5.4,A5,A5,A5.1,A5
113610_cam_survey_1_frame1423.jpg,A5.1,A5.4,A5,A5,A3.1,A3
132143_forcadinho-np3_frame880.jpg,A5.1,A5.4,A5,A5,A3.1,A3
132143_forcadinho-np3_frame2899.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame875.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1013.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
105317_cam-np3_frame1526.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
132143_forcadinho-np3_frame3853.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1984.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A4.7,A4
113610_cam_survey_1_frame1015.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1570.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
132143_forcadinho-np3_frame974.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3897.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
105317_cam-np3_frame1738.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
125355_forcadinho-np3_frame1774.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame4268.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
125355_forcadinho-np3_frame1108.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1952.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A4.7,A4
132143_forcadinho-np3_frame3217.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
125355_forcadinho-np3_frame1764.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame1477.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1,A3
132143_forcadinho-np3_frame1043.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3823.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame954.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3990.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3486.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame1286.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3826.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
105317_cam-np3_frame1701.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3848.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame2776.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
132143_forcadinho-np3_frame3923.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
132143_forcadinho-np3_frame2765.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame808.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame1081.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
113610_cam_survey_1_frame748.jpg,A3.1-A4.1,A5.4,A3,A5,A3.1,A3
132143_forcadinho-np3_frame2737.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
105317_cam-np3_frame1895.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3018.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame740.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
125355_forcadinho-np3_frame1011.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame134.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7,A3
113610_cam_survey_1_frame1153.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame120.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
105317_cam-np3_frame1722.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
132143_forcadinho-np3_frame3304.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame336.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
132143_forcadinho-np3_frame3002.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
132143_forcadinho-np3_frame4093.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
132143_forcadinho-np3_frame3881.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame1911.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame1060.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame166.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame705.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
113610_cam_survey_1_frame1282.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1,A3
113610_cam_survey_1_frame2921.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A4.7,A4
132143_forcadinho-np3_frame1154.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
132143_forcadinho-np3_frame4092.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7,A3
125355_forcadinho-np3_frame1562.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
113610_cam_survey_1_frame1186.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
105317_cam-np3_frame1883.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1,A3
